name,manufacturer,franchise,series,year,version,size,category,packaging,subProductLine
Crimson Guard,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Cobra Wave 4
Eel,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Cobra Wave 4
Tele-Viper,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Cobra Wave 4
Tomax & Xamot,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Multi-pack,Cobra Wave 4
Beach Head,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Dial-Tone,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Iceberg,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Leatherneck,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Lifeline,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Low-Light,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Mainframe,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Roadblock,Hasbro,G.I. Joe,A Real American Hero,1986,V2,3.75",Action Figure,Individual,Wave 5
Sci-Fi,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Wet-Suit,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Hawk,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Wave 5
Dr. Mindbender,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Cobra Wave 5
Serpentor,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,with Vehicle,Cobra Wave 5
Viper,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Cobra Wave 5
Cobra-La Royal Guard,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Cobra Wave 5
B.A.T.,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual,Cobra Wave 5
